InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped,fixation.started,fixation.stopped,fixationSize,mouseintial.x,mouseintial.y,mouseintial.leftButton,mouseintial.midButton,mouseintial.rightButton,mouseintial.time,mouseintial.clicked_name,greenFixation.started,greenFixation.stopped,trial.started,trial.stopped,letterSize,apertureSize,searchsize,key_respMain.keys,key_respMain.corr,key_respMain.rt,key_respMain.duration,trialFeedback.started,trialFeedback.stopped,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targetQuad,Tcondition,targcell,tlocx,tlocy,d1x,d1y,d2x,d2y,d3x,d3y,d4x,d4y,d5x,d5y,d6x,d6y,d7x,d7y,d8x,d8y,d9x,d9y,d10x,d10y,d11x,d11y,d1Orient,d2Orient,d3Orient,d4Orient,d5Orient,d6Orient,d7Orient,d8Orient,d9Orient,d10Orient,d11Orient,CheckInstr.started,CheckInstr.stopped,key_checkInstr.keys,key_checkInstr.corr,key_checkInstr.rt,key_checkInstr.duration,CheckInstr_FB.started,CheckInstr_FB.stopped
0.0017,10.9211,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.365818467,10.9214,44.5987,1920,1080,25.255000000000003,2.31,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,4.408276648,10.18311906,27.83653633,Passed,34.11344884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.365818467,,,1920,1080,25.255000000000003,2.31,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,4.408276648,10.18311906,27.83653633,Passed,34.11344884,44.599,44.6009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,44.6014,61.7664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,61.7668,62.8995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,62.9174,63.9035,a,1,0.4597,,63.9038,64.4016,0,0,0,0,1,practice,1,1,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,64.4026,65.2018,a,1,0.2688,,65.202,65.7024,0,1,1,1,1,practice,1,2,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,65.7031,66.4685,a,1,0.2323,,66.4686,66.9696,0,2,2,2,1,practice,1,3,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,66.9702,67.8827,s,1,0.3901,,67.8828,68.3854,0,3,3,3,1,practice,1,4,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,68.3861,69.2029,s,1,0.2862,,69.2029,69.7013,0,4,4,4,1,practice,1,5,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,69.7021,70.6019,a,1,0.3759,,70.6019,71.0991,0,5,5,5,1,practice,1,6,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,,,,,,,71.1002,72.7225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7228,74.1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,1,0,left,a,,,,,74.124,74.838,16.83082303,-0.3671875,0.109375,1,0,0,0.7137,fixationPoint,74.8381,74.9393,74.9396,76.839,16.83082303,4808.806579,289.7305964,a,1,1.8767,,76.8391,77.0396,0,0,0,0,1,4,sparse,90,217,-164,68,123,222,26,214,216,-218,159,-120,223,-110,82,-115,-130,-224,-120,-68,-219,79,-175,19,-128,90,270,360,90,270,270,180,90,90,90,270,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,2,0,left,a,,,,,77.0402,77.3237,16.83082303,-0.3671875,0.109375,1,0,0,0.2833,fixationPoint,77.3238,77.4223,77.4224,77.6553,16.83082303,4808.806579,289.7305964,a,1,0.2171,,77.6555,77.8535,0,1,1,1,1,1,rich,39,169,66,-126,125,-169,169,-130,19,-169,-116,-125,-167,-224,-216,218,-129,171,-218,18,-208,166,26,17,170,180,90,360,270,90,90,90,270,180,180,270,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,3,0,left,a,,,,,77.8539,78.0208,16.83082303,-0.3671875,0.109375,1,0,0,0.1665,fixationPoint,78.0208,78.1229,78.123,78.4228,16.83082303,4808.806579,289.7305964,a,1,0.2849,,78.423,78.6199,0,2,2,2,1,2,sparse,22,-162,126,222,26,17,170,126,172,-25,-117,-175,-206,-224,-216,116,-19,130,-174,217,-164,-218,159,-21,162,90,90,180,360,360,270,360,360,360,360,180,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,4,180,right,s,,,,,78.6207,78.7536,16.83082303,-0.3671875,0.109375,1,0,0,0.1326,fixationPoint,78.7538,78.8541,78.8543,79.1375,16.83082303,4808.806579,289.7305964,s,1,0.2719,,79.1376,79.3386,0,3,3,3,1,4,sparse,76,19,-128,159,121,214,216,219,165,-218,159,-162,126,-219,119,-169,-116,-111,-31,-175,-206,18,-208,81,-114,90,270,180,180,270,180,360,360,360,270,360,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,5,180,right,s,,,,,79.3395,79.4868,16.83082303,-0.3671875,0.109375,1,0,0,0.1471,fixationPoint,79.4869,79.5902,79.5903,79.8902,16.83082303,4808.806579,289.7305964,s,1,0.2834,,79.8902,80.0865,0,4,4,4,1,3,sparse,85,-19,-173,219,165,68,123,214,216,-160,68,-64,120,-226,34,162,-21,224,-216,167,-163,-167,-74,-224,-216,360,360,360,90,180,270,90,360,270,270,360,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,6,180,right,s,,,,,80.0873,80.254,16.83082303,-0.3671875,0.109375,1,0,0,0.1663,fixationPoint,80.254,80.3557,80.3558,80.637,16.83082303,4808.806579,289.7305964,a,0,0.2684,,80.6371,84.6417,0,5,5,5,1,3,sparse,95,-21,-224,126,172,219,165,166,26,-166,207,-223,206,-219,119,169,-75,18,-208,224,-216,-72,-121,-115,-130,180,180,360,180,360,180,270,180,90,180,360,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,7,0,left,a,,,,,84.6521,84.9746,16.83082303,-0.3671875,0.109375,1,0,0,0.3221,fixationPoint,84.9747,85.0757,85.0758,86.0761,16.83082303,4808.806579,289.7305964,a,1,0.9858,,86.0762,86.274,0,6,6,6,1,1,rich,7,62,223,-166,207,-226,34,-162,126,-169,-116,-168,-160,-161,-27,15,-162,162,-21,79,-175,219,165,219,129,180,180,360,180,270,360,180,360,270,180,360,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,8,180,right,s,,,,,86.2746,86.4579,16.83082303,-0.3671875,0.109375,1,0,0,0.1831,fixationPoint,86.458,86.557,86.5571,87.8564,16.83082303,4808.806579,289.7305964,s,1,1.285,,87.8565,88.0588,0,7,7,7,1,2,sparse,24,-64,120,18,215,126,172,33,121,-206,-170,-64,-162,-218,-78,130,-174,211,-74,168,-130,-164,32,-21,162,90,180,270,360,180,90,180,180,180,360,270,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,9,180,right,s,,,,,88.0594,88.2252,16.83082303,-0.3671875,0.109375,1,0,0,0.1656,fixationPoint,88.2253,88.3233,88.3233,90.4929,16.83082303,4808.806579,289.7305964,s,1,2.1513,,90.4931,90.69,0,8,8,8,1,3,sparse,85,-19,-173,127,30,62,223,217,67,-110,82,-21,162,-80,218,167,-163,126,-79,130,-174,-125,-167,-68,-219,360,360,360,180,360,360,180,270,90,360,180,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,10,180,right,s,,,,,90.6907,90.8069,16.83082303,-0.3671875,0.109375,1,0,0,0.1161,fixationPoint,90.807,90.9068,90.9068,93.1123,16.83082303,4808.806579,289.7305964,s,1,2.1887,,93.1124,93.312,0,9,9,9,1,1,rich,9,160,209,-166,207,-226,34,-120,223,-224,-120,-118,-217,-218,-78,112,-209,126,-113,169,-75,178,160,110,129,180,90,90,270,360,270,360,180,360,180,360,,,,,,,,
,,1,4,${e://Field/PROLIFIC_PID,F,18,2023-11-13_22h18.03.247,MouseEye_CC,2023.2.2,MacIntel,60.0024001,0.601100822,,,1920,1080,30.432,3.15,"248.86, 246.65, 242.22, 238.62, 235.09, 237.73, 241.26",381.36,5.311925359,16.73256488,27.83653633,Passed,56.05409235,,,,,,,,,,,,,,,,,,,,practice,0,11,180,right,s,,,,,93.3129,93.5433,16.83082303,-0.5859375,0.30859375,1,0,0,0.2303,fixationPoint,93.5434,93.6447,93.6448,95.68,16.83082303,4808.806579,289.7305964,s,1,2.0294,,95.6801,95.8783,0,10,10,10,1,4,sparse,80,218,-129,62,223,159,121,110,129,-218,159,-223,206,-75,173,-169,-116,-118,-217,-125,-167,217,-164,169,-75,360,270,360,180,360,180,180,270,360,180,90,,,,,,,,
